opened,closed,side,entry,sl,tp,result,r,pnl,capital
2026-07-17 17:00:00,2026-07-17 17:20:00,buy,4010.87,4005.89824,4018.3276399999995,SL,-1.0,-10.01,989.99
2026-07-17 22:35:00,2026-07-18 00:25:00,buy,4002.55,4001.71034,4003.8094900000006,TP,1.5,14.84,1004.83
2026-07-18 11:05:00,2026-07-18 11:10:00,buy,4009.99,4009.75078,4010.34883,SL,-1.0,-10.06,994.77
2026-07-18 16:00:00,2026-07-18 18:00:00,buy,4008.74,4007.9037,4009.9944499999997,TP,1.5,14.91,1009.68
2026-07-20 14:55:00,2026-07-20 15:10:00,sell,4001.6,4006.59254,3994.1111899999996,SL,-1.0,-10.11,999.57
2026-07-21 00:00:00,2026-07-21 00:15:00,sell,4000.12,4004.83844,3993.04234,SL,-1.0,-10.01,989.56
2026-07-21 09:35:00,2026-07-21 09:55:00,buy,4055.06,4053.3511000000003,4057.6233499999994,TP,1.5,14.83,1004.39
2026-07-21 12:45:00,2026-07-21 15:50:00,buy,4052.47,4048.29254,4058.7361899999996,TP,1.5,15.06,1019.45
2026-07-21 23:10:00,2026-07-22 00:00:00,buy,4071.59,4069.53058,4074.6791300000004,SL,-1.0,-10.2,1009.25
2026-07-22 16:20:00,2026-07-22 16:35:00,buy,4144.45,4137.5055600000005,4154.866659999999,SL,-1.0,-10.1,999.15
2026-07-25 10:10:00,2026-07-25 10:35:00,sell,4048.31,4049.0078599999997,4047.26321,TP,1.5,14.98,1014.13
2026-07-25 19:40:00,2026-07-26 05:10:00,buy,4051.89,4050.2918999999997,4054.28715,TP,1.5,15.2,1029.33
2026-07-26 11:45:00,2026-07-26 15:25:00,buy,4055.71,4054.11714,4058.09929,TP,1.5,15.43,1044.76
2026-07-26 17:35:00,2026-07-26 21:15:00,buy,4058.94,4057.2368,4061.4948,TP,1.5,15.66,1060.42
2026-07-27 00:40:00,2026-07-27 03:25:00,buy,4090.44,4077.4458200000004,4109.931269999999,SL,-1.0,-10.61,1049.81
2026-07-29 18:30:00,2026-07-29 18:45:00,buy,4051.08,4034.61818,4075.7727299999997,TP,1.5,15.74,1065.55
2026-07-30 01:00:00,2026-07-30 03:10:00,buy,4078.9,4058.6761,4109.23585,SL,-1.0,-10.67,1054.88
2026-07-30 18:35:00,2026-07-30 18:45:00,buy,4098.7,4094.2389799999996,4105.39153,SL,-1.0,-10.56,1044.32
2026-07-31 20:35:00,2026-07-31 20:55:00,sell,4045.37,4047.7288,4041.8318,TP,1.5,15.65,1059.97
2026-07-31 21:45:00,2026-08-01 18:15:00,sell,4042.7,4045.78844,4038.0673399999996,TP,1.5,15.89,1075.86
2026-08-02 17:35:00,2026-08-02 20:40:00,buy,4059.57,4056.34568,4064.4064800000006,TP,1.5,16.13,1091.99
2026-08-03 21:35:00,2026-08-03 22:05:00,buy,4049.08,4046.39246,4053.11131,SL,-1.0,-10.93,1081.06
2026-08-04 13:20:00,2026-08-05 09:55:00,buy,4080.63,4057.08626,4115.945610000001,TP,1.5,16.21,1097.27
2026-08-05 20:10:00,2026-08-05 23:25:00,buy,4239.46,4231.480100000001,4251.429849999999,TP,1.5,16.45,1113.72
2026-08-06 12:40:00,2026-08-06 12:45:00,sell,4260.11,4265.37332,4252.21502,TP,1.5,16.69,1130.41
2026-08-07 01:30:00,2026-08-07 01:40:00,sell,4235.66,4241.77818,4226.48273,SL,-1.0,-11.32,1119.09
2026-08-07 12:10:00,2026-08-07 12:15:00,buy,4308.9,4304.27354,4315.839689999999,SL,-1.0,-11.2,1107.89
2026-08-07 18:30:00,2026-08-07 19:10:00,buy,4326.84,4321.1465,4335.38025,TP,1.5,16.61,1124.5
